Genre; Année; Titre; Distributeur
Adventure;2010;Tangled;Walt Disney
Adventure;2010;Megamind;Paramount Pictures
Adventure;2010;The Last Airbender;Paramount Pictures
Adventure;2010;Tron: Legacy;Walt Disney
Adventure;2010;Percy Jackson & the Olympians: The Lightning Thief;20th Century Fox
Adventure;2010;The Chronicles of Narnia: The Voyage of the Dawn Treader;20th Century Fox
Adventure;2010;Sherlock Holmes;Warner Bros.
Adventure;2010;Yogi Bear;Warner Bros.
Adventure;2010;Alvin and the Chipmunks: The Squeakquel;20th Century Fox
Adventure;2010;The Sorcerer's Apprentice;Walt Disney
Adventure;2010;Tooth Fairy;20th Century Fox
Adventure;2010;Legend of the Guardians: The Owls of Ga'Hoole;Warner Bros.
Adventure;2010;Cats & Dogs: The Revenge of Kitty Galore;Warner Bros.
Adventure;2010;Nanny McPhee and the Big Bang;Universal
Adventure;2010;Gulliver's Travels;20th Century Fox
Adventure;2010;Alpha and Omega;Lionsgate
Adventure;2010;The Princess and the Frog;Walt Disney
Adventure;2010;The Imaginarium of Doctor Parnassus;Box Office History for Sony Pictures Classics
Adventure;2010;2012;Sony Pictures
Adventure;2010;Planet 51;Sony Pictures
Adventure;2010;The Secret of Kells;GKIDS
Adventure;2010;The Polar Express;Warner Bros.
Adventure;2010;Where the Wild Things Are;Warner Bros.
Adventure;2010;Cloudy with a Chance of Meatballs;Sony Pictures
Adventure;2010;Arthur and the War of Two Worlds;
Adventure;2010;Iron Man;Paramount Pictures
Adventure;2010;A Town Called Panic;Zeitgeist
Adventure;2010;L'illusionniste;Box Office History for Sony Pictures Classics
Adventure;2010;Astro Boy;Summit Entertainment
Adventure;2010;Gedo Senki;Walt Disney
Adventure;2010;Terkel i knibe;
Adventure;2010;Summer Wars;GKIDS
Adventure;2011;Harry Potter and the Deathly Hallows: Part II;Warner Bros.
Adventure;2011;Pirates of the Caribbean: On Stranger Tides;Walt Disney
Adventure;2011;Cars 2;Walt Disney
Adventure;2011;Rise of the Planet of the Apes;20th Century Fox
Adventure;2011;Kung Fu Panda 2;Paramount Pictures
Adventure;2011;Puss in Boots;Paramount Pictures
Adventure;2011;Rio;20th Century Fox
Adventure;2011;The Smurfs;Sony Pictures
Adventure;2011;Hop;Universal
Adventure;2011;Alvin and the Chipmunks: Chipwrecked;20th Century Fox
Adventure;2011;The Lion King;Walt Disney
Adventure;2011;The Muppets;Walt Disney
Adventure;2011;I am Number Four;Walt Disney
Adventure;2011;Diary of a Wimpy Kid: Rodrick Rules;20th Century Fox
Adventure;2011;The Adventures of Tintin;Paramount Pictures
Adventure;2011;Hugo;Paramount Pictures
Adventure;2011;Arthur Christmas;Sony Pictures
Adventure;2011;Tron: Legacy;Walt Disney
Adventure;2011;Spy Kids: All the Time in the World;Weinstein/Dimension
Adventure;2011;Yogi Bear;Warner Bros.
Adventure;2011;Tangled;Walt Disney
Adventure;2011;Winnie the Pooh;Walt Disney
Adventure;2011;Mars Needs Moms;Walt Disney
Adventure;2011;The Three Musketeers;Summit Entertainment
Adventure;2011;The Chronicles of Narnia: The Voyage of the Dawn Treader;20th Century Fox
Adventure;2011;Gulliver's Travels;20th Century Fox
Adventure;2011;Judy Moody and the Not Bummer Summer;Relativity
Adventure;2011;Harry Potter and the Deathly Hallows: Part I;Warner Bros.
Adventure;2011;Hoodwinked Too: Hood vs. Evil;Weinstein Co.
Adventure;2011;Megamind;Paramount Pictures
Adventure;2011;The Way Back;Newmarket Films
Adventure;2011;L'illusionniste;Box Office History for Sony Pictures Classics
Adventure;2011;The Lord of the Rings: The Return of the King;New Line
Adventure;2011;The Lord of the Rings: The Fellowship of the Ring;New Line
Adventure;2011;The Lord of the Rings: The Two Towers;New Line
Adventure;2011;The Polar Express;Warner Bros.
Adventure;2011;Arthur et la vengeance de Maltazard;Alliance Atlantis
Adventure;2011;Despicable Me;Universal
Adventure;2011;Legend of the Guardians: The Owls of Ga'Hoole;Warner Bros.
Adventure;2011;Summer Wars;GKIDS
Adventure;2011;Alabama Moon;Box Office History for Faulkner-McLean Entertainment
Adventure;2011;Mia et le Migou;GKIDS
